Name,Lon,Lat,H (km),Arc-trench distance,Slab dip,Vc (km/Ma),Age (Ma),Descent rate (km/Ma),Thermal parameter/100 (km),Sediment thickness (km),Subducted sediment thickness (km),Upper plate type,Upper plate thickness (km),Upper plate age (Ma)
Aegean,25.4,36.4,120,250,30.5,15,200,7.6,15.2,4,1,Continental,35,
Alaska,-153.55,58.87,97,371,42,49,47.1,33,15.6,2,0.4,Continental,35,
Alaska_Peninsula,-158.8,56.53,108,280,45,59,52.2,41.8,22,0.8,0.4,Continental,40,
Bali_Lombok,116.47,-8.42,186,327,45.9,69.8,134.9,50.1,67.7,1.2,0.3,Continental,33.5,
Bonin,140.88,27.24,164,216,62.8,31.6,145.3,28.1,40.8,0.4,0.2,Oceanic,50,
C_Aleut,-172.52,52.32,96,180,53.7,63.4,55.9,51,28.4,1.5,0.3,Continental,35,
C_Chile,-70.57,-35.24,118,265,27.5,71.6,32.4,33.1,10.7,2,1.3,Continental,45,
C_Chile_gap,-69.5,-30,13.7,73.8,37.7,17.5,6.6,2,1.3,Continental,40,,,
C_Honshu,140.28,37.62,104,289,33.9,82.7,130.5,46.3,60.4,0.6,0.3,Continental,40,
C_Peru_gap,-76.8,-11.2,13.2,66.7,33.9,15.2,5.2,0.7,0.4,Continental,40,,,
C_Sumatra,99.98,0.08,117,315,46.4,40,54.8,29,15.9,2,0.85,Continental,31,
Calabria,15,38.45,43,45,190,30.7,58.3,5,1,Oceanic,20,,,
Central_Cascadia,-122,47,90,305,19.8,30,6.9,14.2,1,2,0.4,Continental,40,
Colombia_Ecuador,-77.5,0,155,305,28,60,15,28.2,4.2,1.8,0.3,Continental,50,
Costa_Rica,-84.73,10.47,87,131,58.9,75.4,15.8,63.9,10.1,0.5,0.3,Continental,40,
E_Aleut,-165.97,54.13,105,204,45.6,64.2,55.3,45.9,25.4,1.5,0.3,Continental,35,
E_Banda_Sea,129.5,-6.73,159,273,48,25.3,100,19.5,19.5,0.4,0.2,Continental,16.5,
GuatElSal,-90.42,14.15,142,196,56.9,66.9,17.4,55.9,9.7,0.5,0.3,Continental,45,
Hokkaido,147,44.62,116,217,41.9,74.7,115.2,49.7,57.2,0.6,0.3,Continental,25,
Izu,139.77,33.13,134,228,46.1,45.6,135.4,32.6,44.1,0.4,0.2,Oceanic,50,
Java,111.76,-7.81,168,307,45.8,67.8,111.2,48.6,54,1.2,0.3,Continental,33.5,
Kamchatka,159.15,53.59,111,227,50.7,75.1,92.9,58.2,54.1,0.6,0.3,Continental,40,
Kermadec,-178.47,-30.2,171,166,56.1,64.6,105.6,53.5,56.6,0.4,0.2,Oceanic,25,
Kyushu,130.57,31.22,122,222,53.8,72,27,57.6,15.6,0.4,0.2,Continental,31,
Mexico,-99.5,19.1,80,360,59.5,47,10,40.5,4,0.6,0.3,Continental,45,
NC_Chile,-68.53,-24.72,126,309,23.6,77.4,42.8,30.9,13.3,0.3,0.2,Continental,40,
N_Antilles,-61.67,16.05,122,212,49.8,17.6,83,13.4,11.1,0.5,0.25,Oceanic,50,
N_Chile,-68.63,-20.83,132,298,29.3,79,46.2,38.7,17.8,0.3,0.2,Continental,45,
N_Honshu,140.88,40.65,114,319,28.7,81.6,129.3,39.2,50.7,0.6,0.3,Continental,40,
N_Kurile,155.43,50.25,106,219,50.4,78.3,105.6,60.2,63.6,0.6,0.3,Continental,45,
N_Marianas,143.44,21.93,185,198,61.5,15.3,147.8,13.4,19.9,0.4,0.2,Oceanic,25,
N_Peru_gap,-79,-6.8,10.2,69.5,29,12.3,3.6,0.7,0.4,Continental,50,,,
N_Phil,120.55,16.33,142,212,57.4,87.7,32.4,73.1,23.6,1.5,0.3,Oceanic,20,
N_Sumatra,97.6,3.87,132,330,49.1,41.5,48.3,31.2,15.1,2.5,1.4,Continental,30,
N_Vanuatu,167.47,-13.8,172,142,71.3,39.6,44,37.5,19.4,0.4,0.2,Oceanic,5,
Nankai,137.3,35.3,31.4,43,20,22.4,4.5,1.5,0.3,Continental,32,,,
New_Britain,150.9,-5.53,137,157,68.2,100.4,25,92.5,23.1,1,0.6,Oceanic,2,
New_Zealand,176.98,-37.86,153,234,52,30.4,100,24.2,24.2,2,0.4,Oceanic,20,
Nicaragua,-86.7,12.5,169,203,62.2,71.1,17.5,62.8,11,0.5,0.3,Continental,30,
North_Cascadia,-121.5,42,100,345,22.4,40,10.6,12.1,1.3,2,0.4,Continental,35,
Peru,-70.85,-16.61,117,270,28.7,65.1,42.1,31.4,13.4,0.7,0.4,Continental,40,
Ryukyu,128.25,27.85,87,187,43.5,69.5,43,48.1,17.1,1,0.2,Continental,31,
SC_Chile,-72.8,-43.75,100,247,29.5,74.7,23.5,36.8,8.6,2,1.3,Continental,40,
S_Antilles,-61.18,13.33,141,235,42.4,17.9,86.6,12.1,10.4,2.5,0.5,Oceanic,50,
S_Chile,-71.7,-39.5,114,228,34.2,74.9,10.3,42.1,4.3,3,0.6,Continental,32,
S_Kurile,151.75,46.83,100,185,46.4,77.4,108.5,56,60.7,0.6,0.3,Continental,25,
S_Marianas,145.83,17.6,169,273,56.9,50,151.6,41.9,63.5,0.4,0.2,Oceanic,25,
S_Phil,125.52,9.59,193,167,64.3,69,59.8,62,36.3,0.4,0.2,Oceanic,20,
S_Sumatra,102.37,-3.38,105,296,50.2,48.7,68.9,37.4,25.9,1.5,0.3,Continental,33.5,
S_Vanuatu,169.83,-20.2,94,104,66.8,112.7,50,103.6,51.8,0.4,0.2,Oceanic,5,
Scotia,-26.45,-57.78,118,161,64.6,60.8,59.1,54.5,28.6,0.4,0.2,Oceanic,2,
Solomon,154.93,-5.83,155,164,70.4,93.6,31,87.5,27.1,0.4,0.2,Oceanic,50,
Sunda_Strait,106.68,-6.75,105,274,49.3,61,85.5,46.3,39.6,1.5,0.3,Continental,33.5,
Tonga,-174.87,-19.18,123,196,52.4,165.8,109,131.3,143.2,0.4,0.2,Oceanic,10,
W_Aleut,-178.8,51.78,107,177,55.9,50.2,56.1,42,23.5,1.5,0.3,Continental,30,
W_Banda_Sea,121.83,-8.76,126,290,54.4,73.6,100,59.8,59.8,0.4,0.2,Continental,33.5,