P_[kbar],T_[C]
5.00,573.89
5.21,575.49
5.42,575.49
5.63,577.09
5.83,580.30
6.04,581.90
6.25,581.90
6.46,583.50
6.67,586.71
6.88,588.31
7.08,591.52
7.29,593.12
7.50,594.72
7.71,596.32
7.92,597.93
8.13,599.53
8.33,599.53
8.54,601.13
8.75,601.13
8.96,602.74
9.17,605.94
9.38,607.54
9.58,607.54
9.79,609.15
10.00,612.35
10.63,615.56
11.25,620.36
11.88,620.36
12.50,623.57
13.13,626.77
13.75,628.38
14.38,633.18
15.00,633.18
15.63,634.79
16.25,636.39
16.88,637.99
17.50,639.59
18.13,639.59
18.75,639.59
19.38,639.59
20.00,639.59
20.63,639.59
21.25,639.59
21.88,639.59
22.50,637.99
23.13,637.99
23.75,637.99
24.38,636.39
25.00,634.79
25.63,634.79
26.25,633.18
26.88,633.18
27.50,631.58
28.13,629.98
28.75,628.38
29.38,626.77
30.00,625.17
30.63,623.57
31.25,621.97
31.88,620.36
32.50,618.76
33.13,617.16
33.75,615.56
34.38,613.95
35.00,610.75
35.63,609.15
36.25,605.94
36.88,604.34
37.50,602.74
38.13,599.53
38.75,597.93
39.38,593.12
40.00,593.12
40.63,589.91
41.25,588.31
41.88,585.11
42.50,581.90
43.13,580.30
43.75,577.09
44.38,575.49
45.00,570.68
45.63,569.08
46.25,565.88
46.88,562.67
47.50,559.47
48.13,556.26
48.75,556.26
49.38,551.45
50.00,548.25
50.63,543.44
51.25,537.03
51.88,532.22
52.50,525.81
53.13,519.40
53.75,504.98
54.38,490.56
55.00,472.93
55.63,460.11
56.25,445.68
56.88,405.62
57.50,365.56
58.13,320.68